Experiment,Dice_Mean,Dice_Std,Dice_Scores,Precision_Mean,Precision_Scores,Recall_Mean,Recall_Scores,Convergence_Epochs_Mean
MIT-B3 Adam,0.6965524837336386,0.0476816889113201,"[np.float64(0.7225319792648616), np.float64(0.7023634953994605), np.float64(0.7666794275139216), np.float64(0.662141319873829), np.float64(0.6290461966161206)]",0.7087826845438616,"[np.float64(0.7394767068455391), np.float64(0.7023116564106012), np.float64(0.809155410775606), np.float64(0.6344596604851138), np.float64(0.6585099882024479)]",0.8308113590615935,"[np.float64(0.8301797737700204), np.float64(0.8660897527543698), np.float64(0.8012410379631195), np.float64(0.8607305852725842), np.float64(0.7958156455478738)]",27.6
MIT-B3 Adam Tversky,0.6866149369928787,0.0757544796381133,"[np.float64(0.5519109607992331), np.float64(0.7321966255640865), np.float64(0.6855851721592481), np.float64(0.6847543160558646), np.float64(0.7786276103859608)]",0.6700350555616923,"[np.float64(0.4506250735628234), np.float64(0.7345569777203208), np.float64(0.7019546119730536), np.float64(0.6777051840110595), np.float64(0.7853334305412039)]",0.8708680379608325,"[np.float64(0.9495752636307935), np.float64(0.8733023253868323), np.float64(0.8185012420550901), np.float64(0.8496220493804577), np.float64(0.8633393093509882)]",30.2
MIT-B3 Adam 0.3 BCE,0.7411469992088736,0.0366527453388545,"[np.float64(0.7490157719044037), np.float64(0.7922026897307688), np.float64(0.749376248151063), np.float64(0.6781933962072879), np.float64(0.7369468900508448)]",0.7330851358222716,"[np.float64(0.7341722333636097), np.float64(0.7766079151258948), np.float64(0.7655137432109036), np.float64(0.6629276034050119), np.float64(0.726204184005938)]",0.8615167768058207,"[np.float64(0.858273614676103), np.float64(0.8974406330165245), np.float64(0.8268415371294149), np.float64(0.8485293478460032), np.float64(0.8764987513610577)]",34.4
MIT-B3 Adam Focal,0.7540748538266311,0.0357466516586309,"[np.float64(0.7460582099785572), np.float64(0.7640959448553717), np.float64(0.6890169100144756), np.float64(0.7870191542984155), np.float64(0.7841840499863354)]",0.7712423184696957,"[np.float64(0.772555507335918), np.float64(0.7785987388117056), np.float64(0.6948713635833647), np.float64(0.8064593832851785), np.float64(0.8037265993323118)]",0.846220035547862,"[np.float64(0.8158498895673515), np.float64(0.8583296527864651), np.float64(0.8468702639837684), np.float64(0.850261558695911), np.float64(0.8597888127058145)]",27.0
MIT-B3 Adam 0.2 BCE,0.746474352743143,0.0542658903166387,"[np.float64(0.6430161977498609), np.float64(0.7777395552691165), np.float64(0.7755311153342447), np.float64(0.7932234985418584), np.float64(0.7428613968206349)]",0.7404595604230447,"[np.float64(0.5824659353613247), np.float64(0.7622793263272053), np.float64(0.8122259834984237), np.float64(0.7979014249642082), np.float64(0.7474251319640618)]",0.8589096856705197,"[np.float64(0.8842453647442133), np.float64(0.895004800737183), np.float64(0.8145803411666748), np.float64(0.8496158702768909), np.float64(0.8511020514276362)]",26.6
MIT-B3 Aggressive,0.6736027725721475,0.0339419633443363,"[np.float64(0.6306040147726855), np.float64(0.7320547361430056), np.float64(0.6527473374797338), np.float64(0.6810587766658257), np.float64(0.671548997799487)]",0.639895408974257,"[np.float64(0.5869080979328264), np.float64(0.6984440052957964), np.float64(0.6036619750169038), np.float64(0.6310075700688893), np.float64(0.6794553965568695)]",0.8797303038234269,"[np.float64(0.8770834163549943), np.float64(0.9002096656847076), np.float64(0.8821566650173133), np.float64(0.8994337380036923), np.float64(0.8397680340564261)]",25.4
MIT-B3 224,0.7307665367093142,0.0579606031100596,"[np.float64(0.7355106304352201), np.float64(0.8109665797909799), np.float64(0.7745469271424259), np.float64(0.658011428348251), np.float64(0.6747971178296948)]",0.7273706599676901,"[np.float64(0.7380557391012899), np.float64(0.7880455061757424), np.float64(0.8158277904682405), np.float64(0.6691931967667004), np.float64(0.625731067326477)]",0.8592025988070908,"[np.float64(0.8381368961149805), np.float64(0.9063612464941749), np.float64(0.8182730198317077), np.float64(0.8157234754779223), np.float64(0.9175183561166692)]",29.4
Resnet 224,0.6640000666324443,0.0521226793237052,"[np.float64(0.61259629542007), np.float64(0.6622934195213133), np.float64(0.6760119248849304), np.float64(0.7550822382915062), np.float64(0.6140164550444013)]",0.6411694471306145,"[np.float64(0.5558984220127184), np.float64(0.6144073519756781), np.float64(0.7004267970384646), np.float64(0.7764590727358783), np.float64(0.558655591890333)]",0.8657118211198462,"[np.float64(0.8967336896329186), np.float64(0.9017913961115446), np.float64(0.816084011813497), np.float64(0.8329398124186672), np.float64(0.8810101956226035)]",24.2
Resnet 1024,0.6973692035730327,0.0438783410665079,"[np.float64(0.6821731345007076), np.float64(0.7576235606563154), np.float64(0.7115025132375693), np.float64(0.6241072682493833), np.float64(0.711439541221188)]",0.7346065221011665,"[np.float64(0.720642256538751), np.float64(0.7761913426983764), np.float64(0.7777723210085148), np.float64(0.5954428229109687), np.float64(0.802983867349221)]",0.8077362151970844,"[np.float64(0.7948036912428632), np.float64(0.840442587351172), np.float64(0.7878707482546384), np.float64(0.8399996031814134), np.float64(0.7755644459553346)]",32.8
Resnet Aggressive,0.6446779521548176,0.0881407221013516,"[np.float64(0.5263304189797345), np.float64(0.5890243352570754), np.float64(0.7371235045064176), np.float64(0.7557004407467007), np.float64(0.6152110612841605)]",0.6159766340504372,"[np.float64(0.4448136026622665), np.float64(0.5250895267285334), np.float64(0.7575177964441), np.float64(0.7710315414857419), np.float64(0.5814307029315446)]",0.8742613901305285,"[np.float64(0.9235395984724355), np.float64(0.9182839524650496), np.float64(0.8400498873642105), np.float64(0.8298970854083719), np.float64(0.8595364269425749)]",40.0
Resnet Unet,0.6789189918595744,0.0639366278796162,"[np.float64(0.6845218018276232), np.float64(0.6242873122579161), np.float64(0.7332750685753642), np.float64(0.7612691442167663), np.float64(0.5912416324202027)]",0.667362952435427,"[np.float64(0.6758161453189212), np.float64(0.545977162532622), np.float64(0.7871611973600695), np.float64(0.7937182213888111), np.float64(0.5341420355767117)]",0.8565631296253662,"[np.float64(0.8476694984219956), np.float64(0.9278560245896531), np.float64(0.807687000124339), np.float64(0.8175391226684786), np.float64(0.8820640023223648)]",27.6
MIT-B3 Adam Simple Baseline,0.763735563171706,0.0202542884208448,"[np.float64(0.727231640214984), np.float64(0.7865691709521786), np.float64(0.7597181475867849), np.float64(0.7690649283069294), np.float64(0.7760939287976532)]",0.799441159341324,"[np.float64(0.7975791566948115), np.float64(0.7846455296426362), np.float64(0.8262551894769314), np.float64(0.7836010810964569), np.float64(0.8051248397957843)]",0.8262905040707373,"[np.float64(0.7936284647028743), np.float64(0.8794023815934939), np.float64(0.7884076122394813), np.float64(0.8309244044066095), np.float64(0.8390896574112273)]",47.0
ResNet Adam Simple Baseline,0.7128938436777623,0.0284309148007884,"[np.float64(0.6901791292634252), np.float64(0.761973011149749), np.float64(0.7098802563672312), np.float64(0.6807837774904871), np.float64(0.7216530441179192)]",0.7824760119823946,"[np.float64(0.7708671602957182), np.float64(0.8119363319766054), np.float64(0.8100974292554871), np.float64(0.7373423029506355), np.float64(0.7821368354335266)]",0.7725420833190728,"[np.float64(0.739652957895534), np.float64(0.8146183771815975), np.float64(0.7424366561422163), np.float64(0.7729329680331297), np.float64(0.7930694573428874)]",50.6
ResNet Adam Simple 0.3 BCE,0.6649449573729704,0.0474487939484965,"[np.float64(0.6608147472584059), np.float64(0.7337468329595304), np.float64(0.6870519862217991), np.float64(0.5879982570878033), np.float64(0.6551129633373133)]",0.630714480759973,"[np.float64(0.6488907114347658), np.float64(0.6944598431171531), np.float64(0.6794413622414791), np.float64(0.5188685334123964), np.float64(0.6119119535940702)]",0.8558434582695881,"[np.float64(0.8257106331760056), np.float64(0.8865790772981369), np.float64(0.8313732458149307), np.float64(0.8764889539950392), np.float64(0.8590653810638286)]",52.4
Resnet AdamW Simple Tversky,0.6997913348819664,0.0201011169987581,"[np.float64(0.6891349557211206), np.float64(0.7240186008556089), np.float64(0.6885726666832686), np.float64(0.6742110178715849), np.float64(0.7230194332782492)]",0.6974704248243512,"[np.float64(0.6909687739499067), np.float64(0.7004793270346604), np.float64(0.704523204108395), np.float64(0.6502061710790145), np.float64(0.7411746479497796)]",0.8336133161343104,"[np.float64(0.8150845874441919), np.float64(0.8703012380924711), np.float64(0.8114836938171732), np.float64(0.8387140570545227), np.float64(0.8324830042631929)]",52.0
ResNet Adam Simple 0.2 BCE,0.6736195805063002,0.0343795742990456,"[np.float64(0.6166767593928003), np.float64(0.6850078610263624), np.float64(0.6582472247997289), np.float64(0.7190035710225349), np.float64(0.6891624862900749)]",0.6425725590170307,"[np.float64(0.5719990172800433), np.float64(0.6195940474130985), np.float64(0.6258472139753731), np.float64(0.7126822692837477), np.float64(0.6827402471328907)]",0.8667958383881536,"[np.float64(0.8591325306839868), np.float64(0.9106977736865632), np.float64(0.8587293714805068), np.float64(0.8489229311008832), np.float64(0.8564965849888279)]",51.8
